lote;x;y
0001;251304.656314912;7236990.51644118
0001;251306.689314912;7236990.51644118
0001;251308.722314912;7236990.51644118
0001;251310.755314912;7236990.51644118
0001;251312.788314912;7236990.51644118
0001;251314.821314912;7236990.51644118
0001;251316.854314912;7236990.51644118
0001;251300.590314912;7236988.51644118
0001;251302.623314912;7236988.51644118
0001;251304.656314912;7236988.51644118
0001;251306.689314912;7236988.51644118
0001;251308.722314912;7236988.51644118
0001;251310.755314912;7236988.51644118
0001;251312.788314912;7236988.51644118
0001;251314.821314912;7236988.51644118
0001;251316.854314912;7236988.51644118
0001;251300.590314912;7236986.51644118
0001;251302.623314912;7236986.51644118
0001;251304.656314912;7236986.51644118
0001;251306.689314912;7236986.51644118
0001;251308.722314912;7236986.51644118
0001;251310.755314912;7236986.51644118
0001;251312.788314912;7236986.51644118
0001;251314.821314912;7236986.51644118
0001;251316.854314912;7236986.51644118
0001;251300.590314912;7236984.51644118
0001;251302.623314912;7236984.51644118
0001;251304.656314912;7236984.51644118
0001;251306.689314912;7236984.51644118
0001;251308.722314912;7236984.51644118
0001;251310.755314912;7236984.51644118
0001;251312.788314912;7236984.51644118
0001;251314.821314912;7236984.51644118
0001;251316.854314912;7236984.51644118
0001;251300.590314912;7236982.51644118
0001;251302.623314912;7236982.51644118
0001;251304.656314912;7236982.51644118
0001;251306.689314912;7236982.51644118
0001;251308.722314912;7236982.51644118
0001;251310.755314912;7236982.51644118
0001;251312.788314912;7236982.51644118
0001;251314.821314912;7236982.51644118
0001;251316.854314912;7236982.51644118
0001;251300.590314912;7236980.51644118
0001;251302.623314912;7236980.51644118
0001;251304.656314912;7236980.51644118
0001;251306.689314912;7236980.51644118
0001;251308.722314912;7236980.51644118
0001;251310.755314912;7236980.51644118
0001;251312.788314912;7236980.51644118
0001;251314.821314912;7236980.51644118
0001;251316.854314912;7236980.51644118
0002-1;251301.664163672;7237021.7665277
0002-1;251305.830163672;7237021.7665277
0002-1;251309.996163672;7237021.7665277
0002-1;251314.162163672;7237021.7665277
0002-1;251318.328163672;7237021.7665277
0002-1;251322.494163672;7237021.7665277
0002-1;251326.660163672;7237021.7665277
0002-1;251330.826163672;7237021.7665277
0002-1;251334.992163672;7237021.7665277
0002-1;251339.158163672;7237021.7665277
0002-1;251343.324163672;7237021.7665277
0002-1;251347.490163672;7237021.7665277
0002-1;251351.656163672;7237021.7665277
0002-1;251301.664163672;7237018.2665277
0002-1;251305.830163672;7237018.2665277
0002-1;251309.996163672;7237018.2665277
0002-1;251314.162163672;7237018.2665277
0002-1;251318.328163672;7237018.2665277
0002-1;251322.494163672;7237018.2665277
0002-1;251326.660163672;7237018.2665277
0002-1;251330.826163672;7237018.2665277
0002-1;251334.992163672;7237018.2665277
0002-1;251339.158163672;7237018.2665277
0002-1;251343.324163672;7237018.2665277
0002-1;251347.490163672;7237018.2665277
0002-1;251351.656163672;7237018.2665277
0002-1;251301.664163672;7237014.7665277
0002-1;251305.830163672;7237014.7665277
0002-1;251309.996163672;7237014.7665277
0002-1;251314.162163672;7237014.7665277
0002-1;251318.328163672;7237014.7665277
0002-1;251322.494163672;7237014.7665277
0002-1;251326.660163672;7237014.7665277
0002-1;251330.826163672;7237014.7665277
0002-1;251334.992163672;7237014.7665277
0002-1;251339.158163672;7237014.7665277
0002-1;251343.324163672;7237014.7665277
0002-1;251347.490163672;7237014.7665277
0002-1;251351.656163672;7237014.7665277
0002-1;251301.664163672;7237011.2665277
0002-1;251305.830163672;7237011.2665277
0002-1;251309.996163672;7237011.2665277
0002-1;251314.162163672;7237011.2665277
0002-1;251318.328163672;7237011.2665277
0002-1;251322.494163672;7237011.2665277
0002-1;251326.660163672;7237011.2665277
0002-1;251330.826163672;7237011.2665277
0002-1;251334.992163672;7237011.2665277
0002-1;251339.158163672;7237011.2665277
0002-1;251343.324163672;7237011.2665277
0002-1;251347.490163672;7237011.2665277
0002-1;251351.656163672;7237011.2665277
0002-2;251355.822163672;7237021.7665277
0002-2;251359.988163672;7237021.7665277
0002-2;251364.154163672;7237021.7665277
0002-2;251368.320163672;7237021.7665277
0002-2;251372.486163672;7237021.7665277
0002-2;251355.822163672;7237018.2665277
0002-2;251359.988163672;7237018.2665277
0002-2;251364.154163672;7237018.2665277
0002-2;251368.320163672;7237018.2665277
0002-2;251372.486163672;7237018.2665277
0002-2;251355.822163672;7237014.7665277
0002-2;251359.988163672;7237014.7665277
0002-2;251364.154163672;7237014.7665277
0002-2;251368.320163672;7237014.7665277
0002-2;251372.486163672;7237014.7665277
0002-2;251355.822163672;7237011.2665277
0002-2;251359.988163672;7237011.2665277
0002-2;251364.154163672;7237011.2665277
0002-2;251368.320163672;7237011.2665277
0002-2;251372.486163672;7237011.2665277
0002-2;251355.822163672;7237007.7665277
0002-2;251359.988163672;7237007.7665277
0002-2;251364.154163672;7237007.7665277
0002-2;251368.320163672;7237007.7665277
0002-2;251372.486163672;7237007.7665277
0011;251375.534712327;7237022.54959753
0011;251377.478712327;7237022.54959753
0011;251379.422712327;7237022.54959753
0011;251381.366712327;7237022.54959753
0011;251383.310712327;7237022.54959753
0011;251385.254712327;7237022.54959753
0011;251387.198712327;7237022.54959753
0011;251389.142712327;7237022.54959753
0011;251391.086712327;7237022.54959753
0011;251393.030712327;7237022.54959753
0011;251394.974712327;7237022.54959753
0011;251396.918712327;7237022.54959753
0011;251398.862712327;7237022.54959753
0011;251400.806712327;7237022.54959753
0011;251402.750712327;7237022.54959753
0011;251404.694712327;7237022.54959753
0011;251406.638712327;7237022.54959753
0011;251408.582712327;7237022.54959753
0011;251375.534712327;7237020.54959753
0011;251377.478712327;7237020.54959753
0011;251379.422712327;7237020.54959753
0011;251381.366712327;7237020.54959753
